"DEPARTAMENTO","CARGO","SALARIO"
"Accounting","Accounting Manager",12008
"Accounting","Public Accountant",8300
"Administration","Administration Assistant",4400
"Executive","President",24000
"Executive","Administration Vice President",17000
"Executive","Administration Vice President",17000
"Finance","Finance Manager",12008
"Finance","Accountant",9000
"Finance","Accountant",8200
"Finance","Accountant",7800
"Finance","Accountant",7700
"Finance","Accountant",6900
"Human Resources","Human Resources Representative",6500
"IT","Programmer",9000
"IT","Programmer",6000
"IT","Programmer",4800
"IT","Programmer",4800
"IT","Programmer",4200
"Marketing","Marketing Manager",13000
"Marketing","Marketing Representative",6000
"Public Relations","Public Relations Representative",10000
"Purchasing","Purchasing Manager",11000
"Purchasing","Purchasing Clerk",3100
"Purchasing","Purchasing Clerk",2900
"Purchasing","Purchasing Clerk",2800
"Purchasing","Purchasing Clerk",2600
"Purchasing","Purchasing Clerk",2500
"Sales","Sales Manager",14000
"Sales","Sales Manager",13500
"Sales","Sales Manager",12000
"Sales","Sales Representative",11500
"Sales","Sales Manager",11000
"Sales","Sales Representative",11000
"Sales","Sales Manager",10500
"Sales","Sales Representative",10500
"Sales","Sales Representative",10000
"Sales","Sales Representative",10000
"Sales","Sales Representative",10000
"Sales","Sales Representative",9600
"Sales","Sales Representative",9500
"Sales","Sales Representative",9500
"Sales","Sales Representative",9500
"Sales","Sales Representative",9000
"Sales","Sales Representative",9000
"Sales","Sales Representative",8800
"Sales","Sales Representative",8600
"Sales","Sales Representative",8400
"Sales","Sales Representative",8000
"Sales","Sales Representative",8000
"Sales","Sales Representative",7500
"Sales","Sales Representative",7500
"Sales","Sales Representative",7400
"Sales","Sales Representative",7300
"Sales","Sales Representative",7200
"Sales","Sales Representative",7000
"Sales","Sales Representative",7000
"Sales","Sales Representative",6800
"Sales","Sales Representative",6400
"Sales","Sales Representative",6200
"Sales","Sales Representative",6200
"Sales","Sales Representative",6100
"Shipping","Stock Manager",8200
"Shipping","Stock Manager",8000
"Shipping","Stock Manager",7900
"Shipping","Stock Manager",6500
"Shipping","Stock Manager",5800
"Shipping","Shipping Clerk",4200
"Shipping","Shipping Clerk",4100
"Shipping","Shipping Clerk",4000
"Shipping","Shipping Clerk",3900
"Shipping","Shipping Clerk",3800
"Shipping","Shipping Clerk",3600
"Shipping","Stock Clerk",3600
"Shipping","Stock Clerk",3500
"Shipping","Shipping Clerk",3400
"Shipping","Stock Clerk",3300
"Shipping","Stock Clerk",3300
"Shipping","Shipping Clerk",3200
"Shipping","Shipping Clerk",3200
"Shipping","Stock Clerk",3200
"Shipping","Stock Clerk",3200
"Shipping","Shipping Clerk",3100
"Shipping","Shipping Clerk",3100
"Shipping","Stock Clerk",3100
"Shipping","Shipping Clerk",3000
"Shipping","Shipping Clerk",3000
"Shipping","Shipping Clerk",2900
"Shipping","Stock Clerk",2900
"Shipping","Shipping Clerk",2800
"Shipping","Shipping Clerk",2800
"Shipping","Stock Clerk",2800
"Shipping","Stock Clerk",2700
"Shipping","Stock Clerk",2700
"Shipping","Shipping Clerk",2600
"Shipping","Shipping Clerk",2600
"Shipping","Stock Clerk",2600
"Shipping","Shipping Clerk",2500
"Shipping","Shipping Clerk",2500
"Shipping","Stock Clerk",2500
"Shipping","Stock Clerk",2500
"Shipping","Stock Clerk",2500
"Shipping","Stock Clerk",2400
"Shipping","Stock Clerk",2400
"Shipping","Stock Clerk",2200
"Shipping","Stock Clerk",2200
"Shipping","Stock Clerk",2100
