"CONTINENTE","PAÍS","ESTADO","CIDADE","DEPARTAMENTO","SALARIO"
"Americas","Canada","Ontario","Toronto","Marketing",13000
"Americas","Canada","Ontario","Toronto","Marketing",6000
"Americas","United States of America","California","South San Francisco","Shipping",8200
"Americas","United States of America","California","South San Francisco","Shipping",8000
"Americas","United States of America","California","South San Francisco","Shipping",7900
"Americas","United States of America","California","South San Francisco","Shipping",6500
"Americas","United States of America","California","South San Francisco","Shipping",5800
"Americas","United States of America","California","South San Francisco","Shipping",4200
"Americas","United States of America","California","South San Francisco","Shipping",4100
"Americas","United States of America","California","South San Francisco","Shipping",4000
"Americas","United States of America","California","South San Francisco","Shipping",3900
"Americas","United States of America","California","South San Francisco","Shipping",3800
"Americas","United States of America","California","South San Francisco","Shipping",3600
"Americas","United States of America","California","South San Francisco","Shipping",3500
"Americas","United States of America","California","South San Francisco","Shipping",3400
"Americas","United States of America","California","South San Francisco","Shipping",3300
"Americas","United States of America","California","South San Francisco","Shipping",3200
"Americas","United States of America","California","South San Francisco","Shipping",3100
"Americas","United States of America","California","South San Francisco","Shipping",3000
"Americas","United States of America","California","South San Francisco","Shipping",2900
"Americas","United States of America","California","South San Francisco","Shipping",2800
"Americas","United States of America","California","South San Francisco","Shipping",2700
"Americas","United States of America","California","South San Francisco","Shipping",2600
"Americas","United States of America","California","South San Francisco","Shipping",2500
"Americas","United States of America","California","South San Francisco","Shipping",2400
"Americas","United States of America","California","South San Francisco","Shipping",2200
"Americas","United States of America","California","South San Francisco","Shipping",2100
"Americas","United States of America","Texas","Southlake","IT",9000
"Americas","United States of America","Texas","Southlake","IT",6000
"Americas","United States of America","Texas","Southlake","IT",4800
"Americas","United States of America","Texas","Southlake","IT",4200
"Americas","United States of America","Washington","Seattle","Executive",24000
"Americas","United States of America","Washington","Seattle","Executive",17000
"Americas","United States of America","Washington","Seattle","Accounting",12008
"Americas","United States of America","Washington","Seattle","Finance",12008
"Americas","United States of America","Washington","Seattle","Purchasing",11000
"Americas","United States of America","Washington","Seattle","Finance",9000
"Americas","United States of America","Washington","Seattle","Accounting",8300
"Americas","United States of America","Washington","Seattle","Finance",8200
"Americas","United States of America","Washington","Seattle","Finance",7800
"Americas","United States of America","Washington","Seattle","Finance",7700
"Americas","United States of America","Washington","Seattle","Finance",6900
"Americas","United States of America","Washington","Seattle","Administration",4400
"Americas","United States of America","Washington","Seattle","Purchasing",3100
"Americas","United States of America","Washington","Seattle","Purchasing",2900
"Americas","United States of America","Washington","Seattle","Purchasing",2800
"Americas","United States of America","Washington","Seattle","Purchasing",2600
"Americas","United States of America","Washington","Seattle","Purchasing",2500
"Europe","Germany","Bavaria","Munich","Public Relations",10000
"Europe","United Kingdom of Great Britain and Northern Ireland","Oxford","Oxford","Sales",14000
"Europe","United Kingdom of Great Britain and Northern Ireland","Oxford","Oxford","Sales",13500
"Europe","United Kingdom of Great Britain and Northern Ireland","Oxford","Oxford","Sales",12000
"Europe","United Kingdom of Great Britain and Northern Ireland","Oxford","Oxford","Sales",11500
"Europe","United Kingdom of Great Britain and Northern Ireland","Oxford","Oxford","Sales",11000
"Europe","United Kingdom of Great Britain and Northern Ireland","Oxford","Oxford","Sales",10500
"Europe","United Kingdom of Great Britain and Northern Ireland","Oxford","Oxford","Sales",10000
"Europe","United Kingdom of Great Britain and Northern Ireland","Oxford","Oxford","Sales",9600
"Europe","United Kingdom of Great Britain and Northern Ireland","Oxford","Oxford","Sales",9500
"Europe","United Kingdom of Great Britain and Northern Ireland","Oxford","Oxford","Sales",9000
"Europe","United Kingdom of Great Britain and Northern Ireland","Oxford","Oxford","Sales",8800
"Europe","United Kingdom of Great Britain and Northern Ireland","Oxford","Oxford","Sales",8600
"Europe","United Kingdom of Great Britain and Northern Ireland","Oxford","Oxford","Sales",8400
"Europe","United Kingdom of Great Britain and Northern Ireland","Oxford","Oxford","Sales",8000
"Europe","United Kingdom of Great Britain and Northern Ireland","Oxford","Oxford","Sales",7500
"Europe","United Kingdom of Great Britain and Northern Ireland","Oxford","Oxford","Sales",7400
"Europe","United Kingdom of Great Britain and Northern Ireland","Oxford","Oxford","Sales",7300
"Europe","United Kingdom of Great Britain and Northern Ireland","Oxford","Oxford","Sales",7200
"Europe","United Kingdom of Great Britain and Northern Ireland","Oxford","Oxford","Sales",7000
"Europe","United Kingdom of Great Britain and Northern Ireland","Oxford","Oxford","Sales",6800
"Europe","United Kingdom of Great Britain and Northern Ireland","Oxford","Oxford","Sales",6400
"Europe","United Kingdom of Great Britain and Northern Ireland","Oxford","Oxford","Sales",6200
"Europe","United Kingdom of Great Britain and Northern Ireland","Oxford","Oxford","Sales",6100
"Europe","United Kingdom of Great Britain and Northern Ireland",,"London","Human Resources",6500
